model,beta,signal,observed_Tn,threshold,pvalue,reject,true_label,selected_lam_l0,selected_lam_l1,bootstrap_mean,bootstrap_sd,bootstrap_min,bootstrap_max,n1,n2,sample_dim,alpha,B,seed,runtime_seconds,started_at,finished_at
ModelA_mean_decay,0.0,0.0,3.442129611968994,3.885413646697998,0.238,0,0,1.0,1.0,3.229175313472748,0.3418657589701456,2.4177086353302,4.660091876983643,250,250,500,0.05,500,1919810,359.0352690219879,2026-06-04T09:58:02,2026-06-04T10:04:01
ModelA_mean_decay,0.2,0.16000000000000003,3.371971368789673,3.957534074783325,0.372,0,1,1.0,1.0,3.2813681616783144,0.3705560595191642,2.4902114868164062,4.660098075866699,250,250,500,0.05,500,2119810,295.75201439857483,2026-06-04T10:04:01,2026-06-04T10:08:57
ModelA_mean_decay,0.4,0.32000000000000006,3.25632643699646,3.9177863597869873,0.484,0,1,1.0,1.0,3.2707289361953737,0.3516238869380059,2.419678211212158,4.385643005371094,250,250,500,0.05,500,2319810,281.0790500640869,2026-06-04T10:08:57,2026-06-04T10:13:38
ModelA_mean_decay,0.6,0.48,10.557336807250977,10.919657707214355,0.106,0,1,20.0,2.7360682487487793,9.34384767818451,0.966516250755869,5.841480255126953,11.8373384475708,250,250,500,0.05,500,2519810,2807.315725326538,2026-06-04T10:13:38,2026-06-04T11:00:25
ModelA_mean_decay,0.8,0.6400000000000001,7.319419860839844,4.025447368621826,0.0,1,1,1.0,1.0,3.282818903923035,0.36931278848621435,2.469566583633423,4.8632612228393555,250,250,500,0.05,500,2719810,292.6600606441498,2026-06-04T11:00:25,2026-06-04T11:05:18
ModelA_mean_decay,1.0,0.8,9.479453086853027,3.921438694000244,0.0,1,1,1.0,1.0,3.306213900089264,0.37933146584750477,2.490987777709961,4.827569007873535,250,250,500,0.05,500,2919810,283.507443189621,2026-06-04T11:05:18,2026-06-04T11:10:01
