model,beta,signal,observed_Tn,threshold,pvalue,reject,true_label,selected_lam_l0,selected_lam_l1,bootstrap_mean,bootstrap_sd,bootstrap_min,bootstrap_max,n1,n2,sample_dim,alpha,B,seed,runtime_seconds,started_at,finished_at
ModelA_mean_decay,0.0,0.0,11.024657249450684,10.851142883300781,0.024,1,0,20.0,2.7360682487487793,9.377689888954162,0.9747891556593,5.569753170013428,12.618999481201172,250,250,500,0.05,500,20260603,2122.139482498169,2026-06-03T13:01:53,2026-06-03T13:37:15
ModelA_mean_decay,0.2,0.16000000000000003,5.807723045349121,6.885191440582275,0.41,0,1,5.0,1.6180340051651,5.577805983543396,0.8443772193789933,3.394329309463501,8.0608549118042,250,250,500,0.05,500,20460603,1820.1816203594208,2026-06-03T13:37:15,2026-06-03T14:07:36
ModelA_mean_decay,0.4,0.32000000000000006,6.4115400314331055,6.845472812652588,0.162,0,1,5.0,1.1545084714889526,5.629623061180115,0.802076487533182,3.2889325618743896,7.828488349914551,250,250,500,0.05,500,20660603,2141.0004494190216,2026-06-03T14:07:36,2026-06-03T14:43:17
ModelA_mean_decay,0.6,0.48,4.442997455596924,3.904785633087158,0.004,1,1,1.0,1.0,3.2844922342300413,0.3484596392764198,2.37337064743042,4.617177486419678,250,250,500,0.05,500,20860603,307.9871904850006,2026-06-03T14:43:17,2026-06-03T14:48:25
ModelA_mean_decay,0.8,0.6400000000000001,6.915501117706299,4.003159999847412,0.0,1,1,1.0,1.0,3.284167245864868,0.3894704669994056,2.2499797344207764,4.8123321533203125,250,250,500,0.05,500,21060603,283.92793464660645,2026-06-03T14:48:25,2026-06-03T14:53:09
ModelA_mean_decay,1.0,0.8,9.798117637634277,3.994784355163574,0.0,1,1,1.0,1.0,3.287955018520355,0.3870647091078329,2.456430435180664,5.132148265838623,250,250,500,0.05,500,21260603,232.20369720458984,2026-06-03T14:53:09,2026-06-03T14:57:01
